"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:08:16    ","00:06:50    ","1","0","0","00:06:50    ","00:06:33    ","00:05:17    ","91","95","81","130","149","24","29"
"2","00:02:09    ","00:02:09    ","0.29","0","0","00:07:22    ","00:06:22    ","00:06:00    ","91","93","74","146","151","21","22"
"3","00:08:39    ","00:08:36    ","1","0","0","00:08:36    ","00:07:14    ","00:05:52    ","90","92","68","156","164","20","64"
"4","00:08:05    ","00:08:05    ","1","0","0","00:08:05    ","00:07:16    ","00:06:53    ","90","92","69","157","163","18","65"
"5","00:08:34    ","00:08:34    ","1","0","0","00:08:34    ","00:07:39    ","00:07:23    ","90","93","65","155","161","17","71"
"6","00:08:37    ","00:08:37    ","1","0","0","00:08:37    ","00:07:38    ","00:07:22    ","90","93","65","157","163","17","65"
"7","00:06:15    ","00:06:15    ","0.73","0","0","00:08:36    ","00:07:49    ","00:07:25    ","90","92","65","153","157","17","54"
"8","00:00:59    ","00:00:47    ","0.01","0","0","00:56:56    ","00:11:24    ","00:07:43    ","59","59","0","147","155","17","0"
"Summary","00:51:23    ","00:49:53    ","6.03","6","5","00:08:16    ","00:07:19    ","00:05:17    ","90","95","76","152","164","19","370"
