"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:09:05    ","00:09:04    ","1","0","0","00:09:05    ","00:08:34    ","00:06:05    ","90","96","62","141","155","23","61"
"2","00:10:08    ","00:10:08    ","1","0","2","00:10:09    ","00:09:42    ","00:05:55    ","90","108","44","137","150","21","65"
"3","00:09:06    ","00:09:06    ","1","2","0","00:09:06    ","00:09:11    ","00:06:34    ","91","95","61","141","162","19","62"
"4","00:10:02    ","00:10:02    ","1","0","0","00:10:02    ","00:09:56    ","00:08:56    ","88","92","57","132","140","18","62"
"5","00:02:16    ","00:01:39    ","0.16","0","0","00:10:41    ","00:10:11    ","00:09:15    ","88","90","52","132","140","17","12"
"Summary","00:40:00    ","00:40:00    ","4.16","2","2","00:09:38    ","00:09:22    ","00:05:55    ","90","108","59","137","162","20","261"
