"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:08:43    ","00:07:01    ","1","6","6","00:07:01    ","00:06:50    ","00:05:29    ","91","95","79","121","153","23","38"
"2","00:07:00    ","00:07:00    ","1","4","6","00:07:01    ","00:06:59    ","00:06:27    ","91","95","79","161","171","16","57"
"3","00:07:08    ","00:07:01    ","1","2","2","00:07:02    ","00:07:01    ","00:05:26    ","90","95","80","170","183","14","62"
"4","00:07:10    ","00:07:10    ","1","2","0","00:07:11    ","00:07:06    ","00:06:46    ","90","93","79","178","186","15","69"
"5","00:07:14    ","00:07:14    ","1","2","2","00:07:15    ","00:07:11    ","00:06:47    ","90","93","78","167","179","13","72"
"6","00:07:32    ","00:07:32    ","1","3","0","00:07:32    ","00:07:34    ","00:06:53    ","91","94","74","158","175","11","57"
"7","00:07:58    ","00:07:58    ","1","0","3","00:07:58    ","00:07:59    ","00:07:32    ","91","93","70","166","177","9","71"
"8","00:04:53    ","00:02:46    ","0.32","0","0","00:08:34    ","00:08:17    ","00:07:54    ","92","95","66","164","170","8","26"
"Summary","00:55:33    ","00:53:45    ","7.32","19","19","00:07:20    ","00:07:17    ","00:05:26    ","91","95","76","161","186","14","451"
