"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:00    ","00:06:59    ","1","2","2","00:06:59    ","00:07:15    ","00:06:12    ","92","96","79","149","173","21","47"
"2","00:06:53    ","00:06:53    ","1","0","0","00:06:53    ","00:07:02    ","00:06:35    ","91","93","80","169","180","17","63"
"3","00:07:12    ","00:07:12    ","1","0","2","00:07:12    ","00:07:10    ","00:06:42    ","92","93","77","168","180","15","63"
"4","00:07:02    ","00:07:02    ","1","3","3","00:07:03    ","00:07:02    ","00:06:33    ","92","95","78","169","172","14","63"
"5","00:06:55    ","00:06:55    ","1","2","0","00:06:55    ","00:06:59    ","00:06:38    ","93","95","80","171","177","12","65"
"6","00:06:51    ","00:06:51    ","1","0","2","00:06:52    ","00:06:56    ","00:06:37    ","93","96","80","171","174","12","64"
"7","00:07:07    ","00:07:07    ","1","0","2","00:07:07    ","00:07:02    ","00:06:28    ","93","96","77","167","173","11","62"
"8","00:07:01    ","00:07:01    ","1","3","0","00:07:02    ","00:07:05    ","00:06:33    ","93","97","78","168","172","12","63"
"9","00:06:16    ","00:06:16    ","1","2","0","00:06:17    ","00:06:23    ","00:05:33    ","95","100","85","177","188","13","67"
"10","00:05:53    ","00:05:53    ","1","0","2","00:05:54    ","00:05:58    ","00:05:16    ","95","98","91","182","186","12","50"
"11","00:00:54    ","00:00:41    ","0.11","0","0","00:06:34    ","00:05:46    ","00:05:18    ","93","95","87","178","180","11","10"
"Summary","01:08:55    ","01:08:55    ","10.11","12","13","00:06:49    ","00:06:52    ","00:05:16    ","93","100","78","169","188","14","616"
