"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:46    ","00:06:46    ","1","3","2","00:06:46    ","00:06:41    ","00:04:30    ","94","103","80","142","161","22","44"
"2","00:07:04    ","00:07:04    ","1","0","0","00:07:04    ","00:07:02    ","00:06:33    ","92","95","78","162","171","20","59"
"3","00:06:51    ","00:06:51    ","1","0","3","00:06:52    ","00:06:50    ","00:06:10    ","92","95","80","162","171","19","59"
"4","00:06:55    ","00:06:55    ","1","2","0","00:06:56    ","00:07:00    ","00:06:21    ","93","96","79","166","175","18","61"
"5","00:07:08    ","00:07:08    ","1","0","2","00:07:08    ","00:07:12    ","00:06:35    ","93","96","77","166","175","17","62"
"6","00:01:39    ","00:01:35    ","0.21","0","0","00:07:44    ","00:07:15    ","00:06:36    ","92","95","70","165","170","16","18"
"Summary","00:36:21    ","00:36:21    ","5.21","5","7","00:06:59    ","00:06:58    ","00:04:30    ","93","103","77","160","175","19","303"
