"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:31    ","00:07:30    ","1","0","0","00:07:30    ","00:07:21    ","00:06:10    ","93","98","72","143","165","23","47"
"2","00:07:59    ","00:07:59    ","1","0","0","00:08:00    ","00:07:52    ","00:07:23    ","92","97","68","159","165","21","66"
"3","00:07:49    ","00:07:49    ","1","0","0","00:07:49    ","00:07:49    ","00:07:23    ","93","94","69","160","166","19","66"
"4","00:07:39    ","00:07:39    ","1","0","0","00:07:39    ","00:07:46    ","00:07:08    ","92","95","71","159","166","19","66"
"5","00:08:01    ","00:08:01    ","1","0","0","00:08:02    ","00:07:47    ","00:07:22    ","92","94","68","157","165","18","64"
"6","00:06:39    ","00:06:39    ","1","0","0","00:06:40    ","00:07:02    ","00:05:15    ","92","100","82","165","171","18","52"
"7","00:01:29    ","00:01:21    ","0.21","0","0","00:06:28    ","00:05:23    ","00:04:57    ","93","100","83","172","174","17","18"
"Summary","00:47:00    ","00:47:00    ","6.21","0","0","00:07:34    ","00:07:31    ","00:04:57    ","92","100","72","157","174","20","380"
