"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:10:25    ","00:10:24    ","1","2","0","00:10:25    ","00:09:53    ","00:06:43    ","90","97","53","136","157","12","70"
"2","00:03:18    ","00:03:09    ","0.31","0","0","00:10:13    ","00:10:15    ","00:09:14    ","89","93","53","143","149","11","21"
"Summary","00:13:34    ","00:13:34    ","1.31","2","0","00:10:22    ","00:09:58    ","00:06:43    ","90","97","56","138","157","12","91"
