"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:36    ","00:07:35    ","1","2","0","00:07:35    ","00:07:24    ","00:05:53    ","94","102","70","146","157","26","50"
"2","00:07:58    ","00:07:58    ","1","0","2","00:07:59    ","00:08:01    ","00:07:36    ","94","96","67","151","159","22","61"
"3","00:08:05    ","00:08:05    ","1","0","1","00:08:06    ","00:08:06    ","00:07:36    ","94","95","67","154","167","18","62"
"4","00:08:00    ","00:08:00    ","1","3","2","00:08:00    ","00:07:59    ","00:07:35    ","94","98","67","160","170","16","67"
"5","00:07:53    ","00:07:53    ","1","0","0","00:07:53    ","00:07:56    ","00:07:19    ","94","96","68","159","165","15","66"
"6","00:08:07    ","00:08:07    ","1","3","0","00:08:07    ","00:08:09    ","00:07:40    ","94","96","67","158","162","14","66"
"7","00:02:54    ","00:02:51    ","0.35","2","0","00:08:09    ","00:08:11    ","00:07:51    ","94","96","67","158","161","13","24"
"Summary","00:50:32    ","00:50:32    ","6.35","10","5","00:07:57    ","00:07:57    ","00:05:53    ","94","102","67","155","170","18","396"
