"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:08:13    ","00:08:12    ","1","0","0","00:08:12    ","00:07:50    ","00:05:44    ","93","96","66","157","171","21","66"
"2","00:08:27    ","00:08:27    ","1","0","0","00:08:27    ","00:08:31    ","00:08:04    ","93","96","65","159","168","18","66"
"3","00:09:03    ","00:09:03    ","1","0","0","00:09:03    ","00:08:47    ","00:08:25    ","92","95","61","153","161","15","70"
"4","00:08:41    ","00:08:41    ","1","0","0","00:08:41    ","00:08:47    ","00:07:04    ","91","95","64","148","158","14","66"
"5","00:00:09    ","00:00:03    ","0","0","0","00:06:42    ","00:08:01    ","00:08:01    ","90","90","93","133","133","13","0"
"Summary","00:34:27    ","00:34:26    ","4","7","7","00:08:36    ","00:08:28    ","00:05:44    ","92","96","64","154","171","17","269"
