"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:10:31    ","00:10:31    ","1","0","0","00:10:32    ","00:10:19    ","00:05:43    ","88","95","55","120","134","22","54"
"2","00:10:36    ","00:10:36    ","1","0","0","00:10:37    ","00:10:31    ","00:09:37    ","86","91","54","118","139","18","51"
"3","00:10:17    ","00:10:17    ","1","0","0","00:10:18    ","00:10:18    ","00:09:23    ","86","90","54","113","124","15","50"
"4","00:10:49    ","00:10:49    ","1","0","0","00:10:50    ","00:10:42    ","00:09:30    ","87","91","50","100","117","13","37"
"5","00:01:49    ","00:01:45    ","0.16","0","0","00:10:53    ","00:10:05    ","00:09:05    ","86","89","54","94","97","12","6"
"Summary","00:44:01    ","00:44:01    ","4.16","0","0","00:10:35    ","00:10:27    ","00:05:43    ","87","95","55","112","139","17","199"
