"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:31    ","00:06:37    ","1","0","0","00:06:37    ","00:06:23    ","00:05:12    ","93","98","82","131","155","19","40"
"2","00:06:07    ","00:06:07    ","1","0","2","00:06:07    ","00:05:53    ","00:04:53    ","95","99","87","178","189","15","57"
"3","00:06:00    ","00:06:00    ","1","2","2","00:06:00    ","00:06:00    ","00:04:51    ","96","105","88","172","183","14","56"
"4","00:06:09    ","00:06:09    ","1","0","3","00:06:09    ","00:06:03    ","00:05:13    ","96","98","86","174","188","13","55"
"5","00:05:39    ","00:05:39    ","1","3","2","00:05:40    ","00:05:50    ","00:04:43    ","97","102","93","187","190","12","63"
"6","00:00:11    ","00:00:07    ","0.03","0","0","00:04:57    ","00:04:43    ","00:04:43    ","98","98","112","185","185","12","0"
"Summary","00:31:35    ","00:30:41    ","5.03","5","9","00:06:06    ","00:06:01    ","00:04:43    ","95","105","87","168","190","14","270"
