"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:49    ","00:07:49    ","1","0","2","00:07:49    ","00:07:43    ","00:06:52    ","93","94","69","117","138","23","34"
"2","00:08:10    ","00:08:10    ","1","0","3","00:08:11    ","00:08:04    ","00:07:30    ","92","94","67","154","159","19","69"
"3","00:08:07    ","00:08:07    ","1","0","2","00:08:07    ","00:08:07    ","00:07:14    ","92","95","67","156","175","19","64"
"4","00:08:22    ","00:08:22    ","1","2","2","00:08:23    ","00:08:22    ","00:07:34    ","91","93","66","158","167","17","65"
"5","00:08:12    ","00:08:12    ","1","0","2","00:08:13    ","00:08:10    ","00:07:39    ","91","94","67","160","167","19","67"
"6","00:08:31    ","00:08:31    ","1","3","0","00:08:31    ","00:08:30    ","00:07:40    ","91","94","65","163","171","19","77"
"7","00:07:21    ","00:07:21    ","1","0","0","00:07:21    ","00:07:34    ","00:06:31    ","92","96","74","171","187","18","64"
"8","00:03:17    ","00:02:48    ","0.35","0","0","00:08:08    ","00:07:45    ","00:06:41    ","93","95","67","170","177","18","28"
"Summary","00:59:23    ","00:59:23    ","7.35","5","11","00:08:05    ","00:08:03    ","00:06:31    ","92","96","67","155","187","19","467"
