"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:09:38    ","00:09:37    ","1","0","0","00:09:38    ","00:09:00    ","00:05:12    ","91","101","52","129","156","20","56"
"2","00:11:14    ","00:11:14    ","1","0","0","00:11:15    ","00:10:58    ","00:09:42    ","88","91","49","133","148","15","68"
"3","00:10:53    ","00:10:53    ","1","0","2","00:10:53    ","00:10:52    ","00:09:50    ","89","96","52","134","143","12","69"
"4","00:11:43    ","00:10:03    ","1","2","0","00:10:03    ","00:09:52    ","00:05:52    ","90","95","54","136","153","10","65"
"5","00:00:33    ","00:00:21    ","0.03","0","0","00:10:44    ","00:10:09    ","00:10:01    ","89","91","54","123","124","10","0"
"Summary","00:43:50    ","00:42:10    ","4.03","2","2","00:10:27    ","00:10:10    ","00:05:12    ","89","101","55","133","156","14","258"
