"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:23    ","00:07:23    ","1","0","0","00:07:23    ","00:07:13    ","00:05:55    ","90","95","76","141","157","28","50"
"2","00:07:37    ","00:07:37    ","1","0","0","00:07:37    ","00:07:35    ","00:07:07    ","91","93","72","149","155","25","52"
"3","00:07:48    ","00:07:48    ","1","0","0","00:07:48    ","00:07:41    ","00:07:26    ","90","94","71","150","158","24","60"
"4","00:07:56    ","00:07:56    ","1","0","0","00:07:56    ","00:07:46    ","00:07:22    ","90","92","71","151","158","23","61"
"5","00:07:37    ","00:07:37    ","1","0","0","00:07:37    ","00:07:38    ","00:07:12    ","90","93","73","153","159","22","62"
"6","00:07:49    ","00:07:49    ","1","0","0","00:07:49    ","00:07:45    ","00:07:13    ","90","93","71","155","162","21","64"
"7","00:02:29    ","00:02:29    ","0.31","0","0","00:08:07    ","00:07:56    ","00:07:38    ","91","94","68","155","166","21","16"
"8","00:07:27    ","00:07:27    ","1","0","0","00:07:27    ","00:07:25    ","00:06:39    ","91","93","75","159","169","20","58"
"9","00:07:08    ","00:07:08    ","1","0","0","00:07:08    ","00:07:06    ","00:05:55    ","91","95","77","159","167","19","66"
"10","00:07:18    ","00:07:12    ","0.95","0","0","00:07:35    ","00:07:15    ","00:05:53    ","91","94","73","163","171","18","60"
"Summary","01:10:26    ","01:10:26    ","9.25","4","5","00:07:37    ","00:07:30    ","00:05:53    ","91","95","74","153","171","22","548"
