"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:25    ","00:06:46    ","1","0","0","00:06:46    ","00:06:50    ","00:06:00    ","90","95","83","126","140","25","38"
"2","00:07:21    ","00:07:21    ","1","0","0","00:07:21    ","00:07:15    ","00:06:00    ","90","93","76","161","169","21","58"
"3","00:08:18    ","00:07:53    ","1","0","0","00:07:53    ","00:07:47    ","00:06:57    ","89","92","72","158","169","19","63"
"4","00:07:45    ","00:07:44    ","1","0","0","00:07:44    ","00:07:41    ","00:05:31    ","91","93","72","160","167","19","66"
"5","00:07:49    ","00:07:49    ","1","0","0","00:07:49    ","00:07:54    ","00:07:35    ","91","94","71","158","168","20","65"
"6","00:08:19    ","00:08:19    ","1","0","0","00:08:19    ","00:08:08    ","00:07:40    ","91","94","67","156","168","18","65"
"7","00:08:36    ","00:08:36    ","1","0","0","00:08:36    ","00:08:37    ","00:07:59    ","90","92","66","152","163","15","70"
"8","00:08:35    ","00:08:35    ","1","0","0","00:08:35    ","00:08:28    ","00:08:02    ","89","92","66","150","155","15","60"
"9","00:08:38    ","00:08:38    ","1","0","0","00:08:38    ","00:08:44    ","00:08:21    ","90","92","66","150","155","14","68"
"10","00:00:18    ","00:00:04    ","0","0","0","00:07:52    ","00:08:54    ","00:08:53    ","89","89","71","149","149","14","0"
"Summary","01:12:50    ","01:11:45    ","9","1","3","00:07:58    ","00:07:56    ","00:05:31    ","90","95","70","153","169","18","554"
