"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:08:39    ","00:08:39    ","1","0","0","00:08:39    ","00:08:30    ","00:06:55    ","91","120","64","138","152","22","54"
"2","00:08:41    ","00:08:41    ","1","2","4","00:08:41    ","00:08:51    ","00:07:25    ","91","98","64","152","175","18","68"
"3","00:07:18    ","00:07:18    ","1","2","0","00:07:18    ","00:07:13    ","00:06:32    ","93","96","75","167","175","16","62"
"4","00:07:24    ","00:07:24    ","1","2","2","00:07:25    ","00:07:18    ","00:06:38    ","93","96","75","163","175","14","61"
"5","00:07:12    ","00:07:12    ","1","0","3","00:07:13    ","00:07:17    ","00:06:30    ","93","96","76","138","150","13","53"
"6","00:07:52    ","00:07:52    ","1","5","0","00:07:52    ","00:07:35    ","00:06:19    ","92","95","71","133","154","15","42"
"7","00:08:22    ","00:08:00    ","1","0","3","00:08:01    ","00:07:56    ","00:04:19    ","92","98","71","162","175","13","72"
"8","00:04:01    ","00:03:56    ","0.55","0","0","00:07:06    ","00:06:45    ","00:05:54    ","93","96","78","177","181","12","39"
"Summary","00:59:27    ","00:59:05    ","7.55","11","12","00:07:49    ","00:07:44    ","00:04:19    ","92","120","70","152","181","16","452"
