"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:16    ","00:07:15    ","1","2","3","00:07:16    ","00:07:26    ","00:06:30    ","91","98","76","138","152","24","42"
"2","00:07:23    ","00:06:56    ","1","3","0","00:06:56    ","00:07:06    ","00:05:19    ","90","95","80","173","181","21","63"
"3","00:07:35    ","00:07:32    ","1","2","3","00:07:33    ","00:07:23    ","00:05:38    ","91","93","74","171","178","20","64"
"4","00:07:29    ","00:07:29    ","1","0","2","00:07:30    ","00:07:40    ","00:06:33    ","90","93","75","165","171","19","70"
"5","00:07:32    ","00:07:32    ","1","2","0","00:07:33    ","00:07:28    ","00:06:07    ","90","92","74","169","175","18","63"
"6","00:07:21    ","00:07:21    ","1","2","3","00:07:21    ","00:07:20    ","00:06:38    ","91","94","75","170","175","17","73"
"7","00:07:21    ","00:07:21    ","1","0","0","00:07:22    ","00:07:35    ","00:06:27    ","91","97","75","168","174","17","63"
"8","00:07:36    ","00:07:36    ","1","3","0","00:07:37    ","00:07:36    ","00:06:30    ","91","95","73","167","173","16","71"
"9","00:00:16    ","00:00:10    ","0.01","0","0","00:11:40    ","00:07:08    ","00:07:07    ","91","91","77","170","170","16","0"
"Summary","00:59:48    ","00:59:18    ","8.01","14","11","00:07:24    ","00:07:27    ","00:05:19    ","91","98","74","165","181","19","509"
