"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:08:02    ","00:08:01    ","1","0","0","00:08:01    ","00:07:59    ","00:07:00    ","90","93","69","142","153","27","52"
"2","00:07:36    ","00:07:36    ","1","0","0","00:07:37    ","00:07:33    ","00:06:49    ","91","94","72","150","157","25","60"
"3","00:07:54    ","00:07:54    ","1","0","0","00:07:55    ","00:07:50    ","00:07:32    ","91","93","69","151","159","21","61"
"4","00:07:50    ","00:07:50    ","1","0","0","00:07:50    ","00:07:51    ","00:07:30    ","91","93","70","151","158","20","53"
"5","00:07:55    ","00:07:55    ","1","0","0","00:07:56    ","00:07:45    ","00:07:17    ","91","94","70","154","162","18","63"
"6","00:07:39    ","00:07:39    ","1","0","0","00:07:40    ","00:07:42    ","00:06:31    ","92","94","72","154","166","17","63"
"7","00:01:59    ","00:01:50    ","0.32","0","0","00:05:45    ","00:05:45    ","00:05:28    ","94","96","95","167","169","17","18"
"Summary","00:48:48    ","00:48:48    ","6.32","0","0","00:07:43    ","00:07:40    ","00:05:28    ","91","96","72","151","169","21","369"
