"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:23    ","00:06:23    ","1","0","2","00:06:23    ","00:06:18    ","00:04:48    ","96","102","82","129","163","22","33"
"2","00:06:24    ","00:06:24    ","1","2","2","00:06:24    ","00:06:28    ","00:06:04    ","96","99","82","176","184","19","64"
"3","00:06:24    ","00:06:24    ","1","2","0","00:06:25    ","00:06:26    ","00:05:17    ","95","97","83","176","182","17","57"
"4","00:06:14    ","00:06:14    ","1","0","7","00:06:14    ","00:06:15    ","00:05:50    ","95","99","84","182","186","16","70"
"5","00:05:45    ","00:05:45    ","1","0","0","00:05:46    ","00:05:43    ","00:04:18    ","96","100","91","186","190","15","52"
"6","00:00:42    ","00:00:39    ","0.11","0","0","00:06:06    ","00:05:51    ","00:05:28    ","95","98","90","187","189","15","10"
"Summary","00:31:51    ","00:31:51    ","5.11","4","11","00:06:14    ","00:06:13    ","00:04:18    ","96","102","84","169","190","18","286"
