"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:31    ","00:06:31    ","1","2","0","00:06:31    ","00:06:34    ","00:05:26    ","93","95","84","120","129","22","32"
"2","00:06:16    ","00:06:16    ","1","0","0","00:06:17    ","00:06:25    ","00:05:26    ","93","96","86","127","135","21","34"
"3","00:10:03    ","00:06:59    ","1","0","0","00:06:59    ","00:06:42    ","00:05:21    ","94","102","80","151","176","19","40"
"4","00:07:01    ","00:07:01    ","1","0","2","00:07:02    ","00:06:54    ","00:06:34    ","93","96","77","147","175","18","49"
"5","00:07:06    ","00:07:06    ","1","2","0","00:07:07    ","00:07:12    ","00:06:31    ","94","96","76","169","177","17","63"
"6","00:04:20    ","00:01:34    ","0.21","0","0","00:07:26    ","00:07:19    ","00:06:56    ","92","94","75","167","170","17","18"
"Summary","00:38:34    ","00:35:29    ","5.21","4","2","00:06:49    ","00:06:47    ","00:05:21    ","93","102","79","145","177","19","236"
