"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:50    ","00:07:50    ","1","2","0","00:07:50    ","00:07:20    ","00:05:33    ","92","95","71","151","162","22","59"
"2","00:08:19    ","00:08:19    ","1","2","2","00:08:19    ","00:08:11    ","00:07:21    ","91","93","67","152","159","20","62"
"3","00:08:37    ","00:08:37    ","1","0","3","00:08:37    ","00:08:35    ","00:08:04    ","91","94","64","147","156","18","66"
"4","00:08:39    ","00:08:39    ","1","2","3","00:08:40    ","00:08:36    ","00:07:48    ","91","95","64","150","167","17","61"
"5","00:08:10    ","00:08:10    ","1","0","2","00:08:11    ","00:08:28    ","00:07:21    ","91","95","67","153","160","17","70"
"6","00:08:08    ","00:08:08    ","1","0","2","00:08:08    ","00:08:05    ","00:06:45    ","92","96","68","152","157","16","62"
"7","00:07:56    ","00:07:56    ","1","3","0","00:07:56    ","00:07:59    ","00:06:50    ","92","95","70","155","164","15","64"
"8","00:05:14    ","00:05:06    ","0.67","2","0","00:07:39    ","00:07:45    ","00:07:09    ","92","95","73","157","165","14","40"
"Summary","01:02:48    ","01:02:48    ","7.67","11","12","00:08:11    ","00:08:08    ","00:05:33    ","91","96","67","152","167","18","482"
