"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:08    ","00:07:08    ","1","0","0","00:07:08    ","00:06:55    ","00:06:13    ","94","97","75","139","167","24","44"
"2","00:07:17    ","00:07:17    ","1","0","0","00:07:17    ","00:07:15    ","00:06:54    ","95","97","72","160","168","20","59"
"3","00:07:16    ","00:07:16    ","1","0","0","00:07:16    ","00:07:13    ","00:06:43    ","94","97","74","160","168","19","67"
"4","00:07:46    ","00:07:46    ","1","0","0","00:07:46    ","00:07:43    ","00:07:24    ","94","96","69","152","162","17","54"
"5","00:07:16    ","00:07:16    ","1","0","0","00:07:16    ","00:07:19    ","00:06:44    ","94","97","74","157","165","16","64"
"6","00:06:53    ","00:06:53    ","1","0","0","00:06:53    ","00:06:53    ","00:06:13    ","95","97","77","165","171","15","61"
"7","00:01:28    ","00:01:21    ","0.20","0","0","00:06:35    ","00:06:25    ","00:06:12    ","95","97","80","168","172","14","9"
"Summary","00:44:57    ","00:44:57    ","6.20","3","4","00:07:15    ","00:07:11    ","00:06:12    ","94","97","74","156","172","18","357"
