"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:08:12    ","00:08:12    ","1","0","0","00:08:12    ","00:08:10    ","00:05:13    ","92","96","67","148","161","24","56"
"2","00:08:32    ","00:08:32    ","1","2","2","00:08:32    ","00:08:36    ","00:07:48    ","91","94","64","152","161","22","69"
"3","00:09:41    ","00:09:41    ","1","0","0","00:09:41    ","00:09:23    ","00:07:59    ","88","92","58","140","160","20","62"
"4","00:10:27    ","00:10:27    ","1","0","0","00:10:27    ","00:10:10    ","00:09:05    ","88","93","57","135","145","19","70"
"5","00:09:43    ","00:09:43    ","1","0","2","00:09:43    ","00:09:50    ","00:08:24    ","88","95","64","134","145","17","63"
"6","00:08:19    ","00:08:15    ","0.83","0","0","00:09:56    ","00:09:55    ","00:07:56    ","88","95","53","135","151","16","51"
"Summary","00:54:51    ","00:54:51    ","5.83","2","4","00:09:24    ","00:09:20    ","00:05:13    ","89","96","60","140","161","19","370"
