"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:02    ","00:06:01    ","1","5","4","00:06:02    ","00:06:07    ","00:02:33    ","92","105","92","118","156","23","25"
"2","00:07:11    ","00:07:11    ","1","5","0","00:07:11    ","00:07:30    ","00:06:52    ","91","94","76","145","155","21","51"
"3","00:08:05    ","00:08:05    ","1","10","0","00:08:05    ","00:08:00    ","00:07:05    ","92","94","68","152","158","16","68"
"4","00:08:50    ","00:08:50    ","1","2","10","00:08:50    ","00:08:26    ","00:07:34    ","92","100","62","157","162","15","64"
"5","00:08:06    ","00:08:06    ","1","3","9","00:08:06    ","00:07:50    ","00:05:08    ","94","99","68","155","163","16","64"
"6","00:01:33    ","00:01:29    ","0.20","0","0","00:07:35    ","00:07:24    ","00:06:58    ","93","96","73","167","170","14","17"
"Summary","00:39:44    ","00:39:44    ","5.20","25","23","00:07:39    ","00:07:35    ","00:02:33    ","92","105","71","148","170","18","289"
