"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:11    ","00:07:10    ","1","2","2","00:07:11    ","00:06:44    ","00:04:55    ","94","100","75","140","163","23","43"
"2","00:06:50    ","00:06:50    ","1","7","0","00:06:50    ","00:06:54    ","00:06:28    ","94","97","78","165","172","21","60"
"3","00:07:04    ","00:06:40    ","1","0","7","00:06:40    ","00:06:44    ","00:05:49    ","94","97","81","165","174","21","51"
"4","00:07:13    ","00:07:13    ","1","5","2","00:07:13    ","00:07:18    ","00:06:47    ","93","95","75","166","174","21","62"
"5","00:07:20    ","00:07:20    ","1","4","2","00:07:21    ","00:07:11    ","00:06:34    ","93","96","74","162","169","20","68"
"6","00:01:35    ","00:01:31    ","0.21","0","0","00:07:13    ","00:07:24    ","00:07:09    ","92","95","77","168","171","20","9"
"Summary","00:37:10    ","00:36:47    ","5.21","18","13","00:07:03    ","00:06:59    ","00:04:55    ","93","100","77","160","174","21","294"
