"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:54    ","00:07:54    ","1","0","0","00:07:55    ","00:07:50    ","00:04:51    ","92","95","69","132","144","25","46"
"2","00:08:19    ","00:08:19    ","1","2","0","00:08:19    ","00:08:04    ","00:07:26    ","91","93","66","145","155","22","57"
"3","00:07:55    ","00:07:55    ","1","0","2","00:07:55    ","00:07:51    ","00:07:37    ","92","94","69","152","159","19","61"
"4","00:08:17    ","00:08:17    ","1","3","0","00:08:18    ","00:08:17    ","00:07:38    ","92","94","66","154","167","17","63"
"5","00:07:58    ","00:07:58    ","1","0","2","00:07:58    ","00:08:01    ","00:07:36    ","92","97","68","150","160","16","60"
"6","00:07:33    ","00:07:33    ","1","2","0","00:07:33    ","00:07:35    ","00:07:09    ","93","95","72","158","163","15","65"
"7","00:07:39    ","00:07:39    ","1","0","0","00:07:40    ","00:07:35    ","00:07:00    ","92","95","72","160","163","14","67"
"8","00:07:27    ","00:05:52    ","0.86","0","0","00:06:49    ","00:06:48    ","00:06:12    ","95","97","79","168","177","14","54"
"Summary","01:01:31    ","01:01:31    ","7.86","7","4","00:07:49    ","00:07:46    ","00:04:51    ","92","97","70","152","177","18","473"
