"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:08:13    ","00:08:13    ","1","0","0","00:08:13    ","00:07:59    ","00:07:19    ","92","94","66","141","154","26","50"
"2","00:08:56    ","00:08:56    ","1","0","0","00:08:56    ","00:08:40    ","00:08:10    ","92","95","61","147","156","23","66"
"3","00:08:51    ","00:08:24    ","1","0","0","00:08:24    ","00:08:15    ","00:06:23    ","93","96","65","144","153","22","61"
"4","00:08:28    ","00:08:28    ","1","0","0","00:08:28    ","00:08:31    ","00:08:06    ","92","95","65","148","154","21","67"
"5","00:08:36    ","00:08:36    ","1","0","0","00:08:36    ","00:08:31    ","00:07:51    ","91","93","64","146","157","20","58"
"6","00:08:21    ","00:08:21    ","1","0","0","00:08:21    ","00:08:11    ","00:07:31    ","90","92","66","148","159","20","67"
"7","00:07:33    ","00:07:33    ","1","0","0","00:07:33    ","00:07:33    ","00:06:41    ","91","94","73","148","154","20","52"
"8","00:03:44    ","00:03:38    ","0.50","0","0","00:07:15    ","00:07:14    ","00:06:37    ","90","93","77","159","166","20","32"
"Summary","01:02:36    ","01:02:09    ","7.50","2","1","00:08:17    ","00:08:10    ","00:06:23    ","92","96","67","147","166","21","453"
