"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:25    ","00:07:25    ","1","2","0","00:07:25    ","00:07:20    ","00:06:31    ","93","96","73","133","152","25","40"
"2","00:06:55    ","00:06:55    ","1","2","0","00:06:56    ","00:06:57    ","00:06:25    ","93","96","77","163","177","23","58"
"3","00:07:06    ","00:07:06    ","1","2","2","00:07:07    ","00:07:06    ","00:06:40    ","93","95","75","165","176","24","62"
"4","00:07:06    ","00:07:06    ","1","3","0","00:07:07    ","00:07:05    ","00:06:19    ","94","96","75","167","176","23","70"
"5","00:07:04    ","00:07:04    ","1","0","2","00:07:04    ","00:07:07    ","00:06:29    ","93","95","76","168","176","23","63"
"6","00:07:06    ","00:07:06    ","1","2","2","00:07:07    ","00:07:11    ","00:06:40    ","93","95","76","168","173","23","63"
"7","00:06:48    ","00:06:48    ","1","3","0","00:06:49    ","00:06:46    ","00:06:24    ","94","95","78","173","179","22","65"
"8","00:06:58    ","00:06:58    ","1","4","0","00:06:59    ","00:06:59    ","00:06:33    ","93","95","77","174","178","22","66"
"9","00:06:18    ","00:06:18    ","1","3","2","00:06:19    ","00:06:19    ","00:05:49    ","94","96","84","181","185","22","60"
"10","00:06:55    ","00:06:55    ","1","3","4","00:06:56    ","00:06:56    ","00:06:24    ","92","96","78","179","183","20","69"
"11","00:00:11    ","00:00:07    ","0.02","0","0","00:05:19    ","00:06:21    ","00:06:18    ","95","96","122","182","183","20","0"
"Summary","01:09:53    ","01:09:53    ","10.02","24","12","00:06:58    ","00:06:58    ","00:05:49    ","93","96","77","167","185","23","614"
