"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:55    ","00:06:55    ","1","0","0","00:06:55    ","00:06:52    ","00:05:48    ","91","94","80","139","164","25","44"
"2","00:06:58    ","00:06:58    ","1","0","0","00:06:58    ","00:07:03    ","00:06:45    ","91","92","79","164","171","23","60"
"3","00:06:55    ","00:06:55    ","1","0","0","00:06:55    ","00:06:58    ","00:06:41    ","91","93","80","167","174","21","62"
"4","00:06:48    ","00:06:48    ","1","0","0","00:06:49    ","00:06:53    ","00:06:20    ","90","93","82","177","183","20","68"
"5","00:07:00    ","00:07:00    ","1","0","0","00:07:01    ","00:07:06    ","00:06:46    ","91","93","79","174","179","19","66"
"6","00:06:23    ","00:06:23    ","1","0","0","00:06:23    ","00:06:29    ","00:05:55    ","92","94","87","178","186","18","58"
"7","00:00:45    ","00:00:39    ","0.11","0","0","00:06:18    ","00:05:55    ","00:05:46    ","92","95","85","184","185","18","10"
"Summary","00:41:41    ","00:41:41    ","6.11","0","0","00:06:50    ","00:06:52    ","00:05:46    ","91","95","80","167","186","21","368"
