"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:08:26    ","00:08:26    ","1","0","0","00:08:26    ","00:08:11    ","00:06:21    ","92","98","65","151","163","24","66"
"2","00:08:54    ","00:08:54    ","1","0","0","00:08:54    ","00:08:51    ","00:08:22    ","91","94","62","149","159","21","60"
"3","00:09:16    ","00:08:58    ","1","0","0","00:08:58    ","00:08:48    ","00:06:28    ","91","98","62","148","158","19","65"
"4","00:08:52    ","00:08:52    ","1","0","0","00:08:52    ","00:08:49    ","00:08:23    ","91","93","63","148","153","17","66"
"5","00:08:03    ","00:08:03    ","1","0","0","00:08:03    ","00:08:14    ","00:06:04    ","91","95","68","139","154","15","54"
"6","00:06:40    ","00:06:40    ","1","0","0","00:06:40    ","00:06:26    ","00:05:26    ","93","98","82","149","175","14","44"
"7","00:00:25    ","00:00:06    ","0.01","0","0","00:07:46    ","00:07:54    ","00:07:51    ","90","90","72","155","156","14","0"
"Summary","00:50:17    ","00:49:59    ","6.01","6","5","00:08:19    ","00:08:13    ","00:05:26    ","91","98","67","147","175","19","354"
