"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:08    ","00:06:08    ","1","0","0","00:06:08    ","00:06:02    ","00:04:51    ","81","84","103","129","147","19","46"
"2","00:07:00    ","00:07:00    ","1","3","4","00:07:00    ","00:06:55    ","00:06:25    ","79","83","91","147","152","18","67"
"3","00:07:26    ","00:07:26    ","1","5","3","00:07:27    ","00:07:25    ","00:06:45    ","81","84","84","139","148","17","71"
"4","00:06:55    ","00:06:55    ","1","0","0","00:06:55    ","00:07:05    ","00:06:13    ","82","84","90","139","149","17","61"
"5","00:07:09    ","00:07:09    ","1","2","3","00:07:10    ","00:07:16    ","00:06:12    ","82","85","87","141","149","17","63"
"6","00:18:57    ","00:06:50    ","1","0","0","00:06:51    ","00:07:12    ","00:06:13    ","81","84","91","144","158","19","60"
"7","00:05:40    ","00:05:40    ","1","5","3","00:05:40    ","00:05:49    ","00:04:46    ","81","84","111","165","182","18","69"
"8","00:05:41    ","00:05:41    ","1","0","2","00:05:42    ","00:05:35    ","00:04:55    ","82","85","108","172","182","17","62"
"9","00:01:28    ","00:01:24    ","0.25","0","0","00:05:44    ","00:05:51    ","00:05:43    ","81","82","118","168","173","16","23"
"Summary","01:06:24    ","00:54:17    ","8.25","15","15","00:06:35    ","00:06:38    ","00:04:46    ","81","85","93","147","182","18","521"
