"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:55    ","00:06:54    ","1","0","0","00:06:55    ","00:06:52    ","00:05:26    ","81","93","91","119","132","18","45"
"2","00:07:17    ","00:07:17    ","1","4","4","00:07:18    ","00:07:05    ","00:06:06    ","79","84","88","133","137","15","57"
"3","00:06:43    ","00:06:43    ","1","5","3","00:06:43    ","00:06:54    ","00:06:06    ","82","87","92","138","144","13","61"
"4","00:06:30    ","00:06:19    ","1","0","2","00:06:20    ","00:06:12    ","00:04:51    ","83","86","98","154","163","12","59"
"5","00:06:29    ","00:06:29    ","1","0","0","00:06:30    ","00:06:31    ","00:05:16    ","83","87","94","154","159","12","73"
"6","00:01:25    ","00:01:17    ","0.20","0","0","00:06:18    ","00:06:13    ","00:05:34    ","81","84","103","149","152","12","10"
"Summary","00:35:12    ","00:35:02    ","5.20","9","9","00:06:44    ","00:06:42    ","00:04:51    ","82","93","91","139","163","14","304"
