"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:17    ","00:06:17    ","1","0","0","00:06:17    ","00:06:06    ","00:03:56    ","83","89","98","131","146","18","44"
"2","00:07:32    ","00:07:32    ","1","4","4","00:07:32    ","00:07:21    ","00:06:32    ","82","84","82","140","147","15","71"
"3","00:07:06    ","00:07:06    ","1","7","3","00:07:07    ","00:07:09    ","00:06:15    ","83","87","87","146","152","14","66"
"4","00:06:52    ","00:06:52    ","1","4","6","00:06:52    ","00:06:56    ","00:06:12    ","84","87","89","146","152","14","67"
"5","00:06:43    ","00:06:43    ","1","2","0","00:06:43    ","00:06:44    ","00:05:51    ","85","89","89","157","163","14","64"
"6","00:06:39    ","00:06:39    ","1","2","3","00:06:40    ","00:06:38    ","00:06:04    ","84","91","91","160","166","15","76"
"7","00:06:07    ","00:06:07    ","1","2","0","00:06:08    ","00:06:13    ","00:05:53    ","84","90","99","158","171","14","64"
"8","00:06:15    ","00:06:15    ","1","0","0","00:06:15    ","00:06:18    ","00:05:52    ","85","88","97","159","167","14","76"
"9","00:06:19    ","00:06:19    ","1","5","0","00:06:19    ","00:06:25    ","00:03:59    ","85","89","94","155","159","14","63"
"10","00:06:22    ","00:06:22    ","1","0","0","00:06:23    ","00:06:26    ","00:05:43    ","84","86","95","153","157","13","62"
"11","00:06:18    ","00:06:18    ","1","2","0","00:06:18    ","00:06:23    ","00:05:52    ","84","87","97","155","158","13","73"
"12","00:06:04    ","00:06:04    ","1","0","0","00:06:04    ","00:06:10    ","00:05:45    ","84","86","101","153","156","13","62"
"13","00:04:44    ","00:04:44    ","1","2","2","00:04:44    ","00:04:55    ","00:03:53    ","85","87","127","145","147","12","38"
"14","00:00:52    ","00:00:46    ","0.14","0","0","00:05:28    ","00:05:04    ","00:04:29    ","86","88","114","145","147","12","9"
"Summary","01:24:09    ","01:24:09    ","13.14","30","18","00:06:24    ","00:06:26    ","00:03:53    ","84","91","93","151","171","14","835"
