"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:31    ","00:06:31    ","1","3","0","00:06:31    ","00:06:15    ","00:04:56    ","82","88","96","143","159","20","59"
"2","00:07:12    ","00:07:12    ","1","0","5","00:07:12    ","00:07:11    ","00:06:25    ","81","85","87","149","156","14","68"
"3","00:06:59    ","00:06:59    ","1","2","2","00:06:59    ","00:07:10    ","00:05:04    ","82","88","89","153","169","11","72"
"4","00:06:50    ","00:06:50    ","1","5","3","00:06:50    ","00:06:57    ","00:05:09    ","83","86","90","152","157","9","71"
"5","00:06:42    ","00:06:42    ","1","0","5","00:06:42    ","00:06:57    ","00:06:23    ","83","87","92","144","150","9","65"
"6","00:07:10    ","00:05:43    ","0.88","0","0","00:06:31    ","00:06:34    ","00:05:20    ","83","89","95","142","146","7","46"
"Summary","00:39:57    ","00:39:57    ","5.88","10","15","00:06:48    ","00:06:51    ","00:04:56    ","83","89","89","147","169","12","381"
