"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:17    ","00:06:16    ","1","0","0","00:06:17    ","00:06:16    ","00:04:21    ","82","85","100","128","148","21","45"
"2","00:07:25    ","00:07:25    ","1","4","4","00:07:26    ","00:07:17    ","00:06:12    ","81","84","84","139","147","19","71"
"3","00:07:51    ","00:07:51    ","1","6","3","00:07:51    ","00:07:52    ","00:05:54    ","82","85","79","135","143","18","67"
"4","00:07:05    ","00:07:05    ","1","0","0","00:07:05    ","00:07:12    ","00:06:36    ","82","85","87","141","149","17","63"
"5","00:07:13    ","00:07:13    ","1","3","6","00:07:13    ","00:07:09    ","00:06:32    ","83","85","85","142","148","18","64"
"6","00:07:38    ","00:07:38    ","1","0","0","00:07:39    ","00:07:40    ","00:04:54    ","83","86","80","139","151","19","71"
"7","00:07:16    ","00:07:16    ","1","4","3","00:07:16    ","00:07:20    ","00:05:21    ","83","85","84","143","147","20","64"
"8","00:07:00    ","00:07:00    ","1","3","0","00:07:00    ","00:06:48    ","00:06:04    ","82","85","88","144","149","19","65"
"9","00:07:11    ","00:07:11    ","1","2","4","00:07:12    ","00:07:17    ","00:04:56    ","82","84","86","147","153","19","68"
"10","00:06:36    ","00:06:36    ","1","4","3","00:06:36    ","00:06:33    ","00:04:43    ","83","85","93","149","155","18","68"
"11","00:06:28    ","00:06:28    ","1","0","0","00:06:29    ","00:06:29    ","00:05:45    ","83","85","95","156","163","17","64"
"12","00:06:43    ","00:06:43    ","1","3","3","00:06:44    ","00:06:47    ","00:06:17    ","83","85","91","152","155","17","71"
"13","00:04:05    ","00:04:01    ","0.67","2","0","00:06:01    ","00:06:09    ","00:05:44    ","83","85","103","156","169","16","42"
"Summary","01:28:49    ","01:28:49    ","12.67","31","26","00:07:01    ","00:07:01    ","00:04:21    ","82","86","87","143","169","18","821"
