"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:05:45    ","00:05:44    ","1","0","0","00:05:44    ","00:05:46    ","00:03:56    ","83","87","107","144","156","19","46"
"2","00:06:10    ","00:06:10    ","1","2","3","00:06:10    ","00:06:00    ","00:05:31    ","83","85","99","151","155","17","60"
"3","00:06:21    ","00:06:21    ","1","3","3","00:06:22    ","00:06:15    ","00:04:33    ","83","108","97","150","156","16","70"
"4","00:06:15    ","00:06:15    ","1","0","0","00:06:16    ","00:06:22    ","00:04:30    ","82","84","98","154","159","16","62"
"5","00:05:29    ","00:05:29    ","1","4","3","00:05:29    ","00:05:43    ","00:04:35    ","83","87","111","168","174","16","70"
"6","00:05:30    ","00:05:30    ","1","3","2","00:05:30    ","00:05:33    ","00:04:07    ","83","87","112","164","169","16","57"
"7","00:00:27    ","00:00:24    ","0.06","0","0","00:06:23    ","00:05:36    ","00:05:10    ","82","83","108","166","168","15","0"
"Summary","00:35:55    ","00:35:55    ","6.06","12","11","00:05:55    ","00:05:56    ","00:03:56    ","83","108","102","155","174","17","364"
