"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:07    ","00:06:07    ","1","0","0","00:06:07    ","00:06:12    ","00:03:49    ","84","103","100","142","158","21","50"
"2","00:06:28    ","00:06:28    ","1","4","4","00:06:28    ","00:06:25    ","00:05:28    ","81","86","97","156","164","19","74"
"3","00:06:35    ","00:06:35    ","1","2","3","00:06:35    ","00:06:51    ","00:03:44    ","81","84","95","154","162","18","62"
"4","00:06:47    ","00:06:47    ","1","2","0","00:06:47    ","00:06:43    ","00:04:17    ","82","88","91","152","157","18","71"
"5","00:06:17    ","00:06:17    ","1","1","3","00:06:17    ","00:06:21    ","00:03:59    ","83","85","97","156","164","20","62"
"6","00:05:32    ","00:05:24    ","0.99","2","3","00:05:27    ","00:05:22    ","00:02:50    ","83","87","111","172","188","21","72"
"Summary","00:37:38    ","00:37:38    ","5.99","11","13","00:06:17    ","00:06:19    ","00:02:50    ","82","103","96","155","188","19","391"
