"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:59    ","00:06:59    ","1","0","0","00:06:59    ","00:06:44    ","00:05:00    ","84","89","87","123","133","20","45"
"2","00:08:25    ","00:08:25    ","1","4","3","00:08:25    ","00:08:30    ","00:07:13    ","82","88","73","128","136","17","69"
"3","00:07:14    ","00:07:14    ","1","4","3","00:07:15    ","00:07:12    ","00:05:40    ","83","86","84","136","150","16","59"
"4","00:06:54    ","00:06:54    ","1","0","0","00:06:55    ","00:06:54    ","00:04:36    ","84","92","88","145","157","17","66"
"5","00:06:40    ","00:06:40    ","1","0","0","00:06:41    ","00:06:47    ","00:06:00    ","84","87","91","143","152","17","55"
"6","00:07:43    ","00:07:43    ","1","3","4","00:07:43    ","00:07:59    ","00:06:45    ","83","86","79","138","148","18","70"
"7","00:06:43    ","00:06:43    ","1","3","0","00:06:44    ","00:06:48    ","00:03:47    ","83","88","91","138","142","18","61"
"8","00:06:42    ","00:06:42    ","1","0","0","00:06:43    ","00:06:37    ","00:04:27    ","84","89","90","141","150","17","62"
"9","00:06:14    ","00:06:14    ","1","0","2","00:06:15    ","00:06:13    ","00:05:37    ","84","89","96","150","152","17","59"
"10","00:06:19    ","00:06:19    ","1","3","3","00:06:19    ","00:06:27    ","00:05:10    ","85","92","94","158","163","17","64"
"11","00:00:13    ","00:00:08    ","0.02","0","0","00:06:30    ","00:06:09    ","00:06:08    ","87","87","177","158","158","16","0"
"Summary","01:10:06    ","01:10:06    ","10.02","17","15","00:07:00    ","00:07:01    ","00:03:47    ","84","92","85","140","163","18","611"
