"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:05:39    ","00:05:39    ","1","0","0","00:05:39    ","00:05:34    ","00:04:09    ","83","89","110","132","141","21","47"
"2","00:05:54    ","00:05:54    ","1","3","4","00:05:55    ","00:06:00    ","00:05:39    ","81","84","106","155","178","17","62"
"3","00:05:49    ","00:05:49    ","1","3","0","00:05:49    ","00:05:55    ","00:05:17    ","82","89","107","175","179","14","63"
"4","00:05:09    ","00:05:09    ","1","3","2","00:05:09    ","00:05:06    ","00:03:49    ","85","88","119","167","178","13","71"
"5","00:04:53    ","00:04:14    ","0.74","0","0","00:05:45    ","00:05:36    ","00:04:38    ","84","88","106","164","168","12","34"
"Summary","00:27:20    ","00:26:47    ","5.20","9","6","00:05:39    ","00:05:38    ","00:03:49    ","83","89","107","158","179","16","276"
