"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:14    ","00:06:14    ","1","5","0","00:06:14    ","00:05:56    ","00:03:49    ","82","85","102","141","153","22","53"
"2","00:07:25    ","00:07:25    ","1","6","4","00:07:25    ","00:07:28    ","00:06:36    ","81","85","84","152","156","19","70"
"3","00:07:02    ","00:07:02    ","1","2","5","00:07:02    ","00:07:17    ","00:05:51    ","82","106","88","153","158","16","72"
"4","00:06:54    ","00:06:54    ","1","3","3","00:06:54    ","00:06:41    ","00:04:19    ","83","85","89","153","169","15","72"
"5","00:07:04    ","00:07:04    ","1","2","5","00:07:04    ","00:07:05    ","00:06:03    ","83","88","86","155","172","15","73"
"6","00:06:47    ","00:06:39    ","0.96","0","4","00:06:54    ","00:06:58    ","00:06:33    ","83","86","89","153","161","14","72"
"Summary","00:41:18    ","00:41:18    ","5.96","18","21","00:06:56    ","00:06:54    ","00:03:49    ","82","106","88","151","172","17","411"
