"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:05    ","00:06:05    ","1","0","0","00:06:05    ","00:06:02    ","00:04:37    ","82","88","102","118","136","22","39"
"2","00:06:14    ","00:06:14    ","1","3","4","00:06:14    ","00:06:12    ","00:05:31    ","81","86","99","135","139","22","50"
"3","00:06:17    ","00:06:17    ","1","5","2","00:06:17    ","00:06:24    ","00:04:21    ","82","86","97","149","161","21","58"
"4","00:05:49    ","00:05:49    ","1","0","0","00:05:50    ","00:05:57    ","00:05:33    ","83","88","105","160","164","21","65"
"5","00:06:21    ","00:06:21    ","1","3","3","00:06:22    ","00:06:25    ","00:05:56    ","83","86","95","160","165","21","66"
"6","00:06:40    ","00:06:40    ","1","3","0","00:06:41    ","00:06:38    ","00:06:16    ","83","85","92","159","165","22","76"
"7","00:06:22    ","00:06:22    ","1","2","4","00:06:22    ","00:06:29    ","00:05:48    ","83","87","95","156","163","23","63"
"8","00:06:12    ","00:06:12    ","1","3","3","00:06:13    ","00:06:14    ","00:05:50    ","84","87","97","159","162","21","76"
"9","00:04:43    ","00:04:43    ","1","2","1","00:04:44    ","00:04:49    ","00:04:28    ","83","85","128","159","161","20","44"
"10","00:04:35    ","00:04:23    ","1.00","5","3","00:04:24    ","00:04:26    ","00:04:12    ","84","89","136","162","170","21","56"
"Summary","00:59:11    ","00:59:11    ","10.00","26","20","00:05:55    ","00:05:58    ","00:04:12    ","83","89","101","151","170","21","593"
