"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:54    ","00:06:54    ","1","3","0","00:06:54    ","00:06:54    ","00:06:25    ","84","87","89","154","169","10","67"
"2","00:06:31    ","00:06:31    ","1","2","5","00:06:31    ","00:06:32    ","00:06:12    ","83","86","95","161","168","9","67"
"3","00:06:33    ","00:06:33    ","1","0","0","00:06:33    ","00:06:39    ","00:06:12    ","83","87","94","162","168","8","78"
"4","00:06:51    ","00:06:51    ","1","2","0","00:06:51    ","00:06:52    ","00:06:08    ","83","90","89","159","165","7","76"
"5","00:06:29    ","00:06:29    ","1","0","2","00:06:29    ","00:06:23    ","00:06:05    ","84","88","96","159","165","6","65"
"6","00:06:29    ","00:06:29    ","1","3","2","00:06:29    ","00:06:27    ","00:06:01    ","84","90","94","163","169","6","79"
"7","00:06:26    ","00:06:26    ","1","7","0","00:06:26    ","00:06:33    ","00:05:49    ","84","87","94","161","171","7","67"
"8","00:06:23    ","00:06:23    ","1","0","6","00:06:23    ","00:06:19    ","00:05:48    ","84","87","95","161","169","8","78"
"9","00:07:06    ","00:07:06    ","1","20","0","00:07:06    ","00:06:14    ","00:05:07    ","84","98","87","166","179","8","81"
"10","00:06:30    ","00:06:30    ","1","18","5","00:06:30    ","00:06:21    ","00:05:42    ","84","88","96","170","178","8","72"
"11","00:06:05    ","00:06:05    ","1","0","21","00:06:05    ","00:06:08    ","00:05:23    ","86","89","97","162","174","9","68"
"12","00:06:21    ","00:06:21    ","1","7","3","00:06:21    ","00:06:18    ","00:05:52    ","86","90","94","161","166","8","78"
"13","00:06:16    ","00:06:16    ","1","5","5","00:06:16    ","00:06:22    ","00:05:06    ","86","90","98","161","176","8","67"
"14","00:05:51    ","00:05:51    ","1","6","20","00:05:51    ","00:05:52    ","00:05:31    ","85","88","104","168","176","8","72"
"15","00:06:36    ","00:06:36    ","1","3","5","00:06:36    ","00:06:07    ","00:05:42    ","85","89","101","161","168","8","67"
"16","00:06:02    ","00:06:02    ","1","7","8","00:06:02    ","00:06:01    ","00:05:11    ","84","91","101","163","167","8","68"
"17","00:06:08    ","00:06:08    ","1","5","9","00:06:08    ","00:06:01    ","00:05:19    ","85","88","99","164","168","7","69"
"18","00:06:20    ","00:06:20    ","1","8","5","00:06:20    ","00:06:21    ","00:06:02    ","85","88","95","162","165","7","79"
"19","00:06:06    ","00:06:06    ","1","2","3","00:06:06    ","00:06:08    ","00:05:35    ","85","88","98","162","168","7","68"
"20","00:06:04    ","00:06:04    ","1","0","2","00:06:04    ","00:06:08    ","00:05:43    ","86","87","99","157","160","8","64"
"21","00:08:23    ","00:08:23    ","1","8","6","00:08:23    ","00:06:50    ","00:05:02    ","79","93","96","138","160","10","71"
"22","00:06:29    ","00:06:29    ","1","5","0","00:06:29    ","00:06:19    ","00:05:04    ","84","90","95","153","163","11","71"
"23","00:06:12    ","00:06:12    ","1","2","5","00:06:12    ","00:06:05    ","00:05:08    ","86","90","97","163","167","9","68"
"24","00:03:38    ","00:03:30    ","0.49","0","0","00:07:12    ","00:07:17    ","00:05:08    ","78","90","91","158","167","10","44"
"Summary","02:32:35    ","02:32:35    ","23.49","113","112","00:06:30    ","00:06:22    ","00:05:02    ","84","98","93","160","179","8","1683"
