"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:06    ","00:06:06    ","1","0","0","00:06:06    ","00:05:51    ","00:03:52    ","84","88","100","132","143","21","47"
"2","00:06:29    ","00:06:29    ","1","2","3","00:06:29    ","00:06:27    ","00:05:33    ","83","86","94","148","155","17","58"
"3","00:06:26    ","00:06:26    ","1","3","3","00:06:26    ","00:06:16    ","00:04:31    ","83","104","95","153","157","16","72"
"4","00:06:35    ","00:06:35    ","1","4","0","00:06:35    ","00:06:29    ","00:05:36    ","83","86","94","155","159","15","62"
"5","00:06:30    ","00:06:30    ","1","4","4","00:06:30    ","00:06:39    ","00:05:10    ","83","86","93","154","158","16","72"
"6","00:05:42    ","00:05:33    ","0.89","0","2","00:06:13    ","00:06:13    ","00:03:57    ","83","85","99","154","159","17","52"
"Summary","00:37:39    ","00:37:39    ","5.89","13","12","00:06:23    ","00:06:19    ","00:03:52    ","83","104","95","149","159","17","362"
