"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:06    ","00:06:06    ","1","2","0","00:06:06    ","00:06:05    ","00:05:36    ","82","86","104","136","147","17","52"
"2","00:06:53    ","00:06:53    ","1","4","3","00:06:53    ","00:06:53    ","00:06:12    ","82","84","90","147","151","15","57"
"3","00:06:37    ","00:06:37    ","1","3","2","00:06:37    ","00:06:37    ","00:06:10    ","82","85","94","154","162","13","71"
"4","00:05:23    ","00:05:23    ","1","3","0","00:05:23    ","00:05:32    ","00:04:15    ","83","86","115","160","170","12","54"
"5","00:04:34    ","00:04:34    ","1","1","4","00:04:34    ","00:04:38    ","00:04:19    ","84","86","134","163","167","14","57"
"6","00:04:55    ","00:04:55    ","1","6","3","00:04:55    ","00:04:54    ","00:04:28    ","83","86","126","157","160","14","54"
"7","00:04:54    ","00:04:54    ","1","2","2","00:04:54    ","00:05:06    ","00:04:12    ","83","86","126","152","158","13","51"
"8","00:02:31    ","00:02:27    ","0.40","0","0","00:06:10    ","00:05:54    ","00:04:21    ","83","85","100","147","151","13","19"
"Summary","00:41:49    ","00:41:49    ","7.40","21","14","00:05:39    ","00:05:42    ","00:04:12    ","82","86","106","152","170","14","416"
