"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:33    ","00:06:32    ","1","2","0","00:06:33    ","00:06:30    ","00:05:27    ","82","87","94","116","147","21","37"
"2","00:06:50    ","00:06:50    ","1","3","3","00:06:50    ","00:06:48    ","00:06:25    ","83","86","90","148","157","18","67"
"3","00:06:23    ","00:06:23    ","1","2","3","00:06:23    ","00:06:41    ","00:04:50    ","82","85","97","160","167","16","66"
"4","00:00:36    ","00:00:31    ","0.08","0","0","00:06:14    ","00:06:21    ","00:06:10    ","83","85","101","155","156","16","11"
"Summary","00:20:17    ","00:20:17    ","3.08","7","6","00:06:35    ","00:06:39    ","00:04:50    ","82","87","91","142","167","18","180"
