"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:05:48    ","00:05:48    ","1","0","0","00:05:48    ","00:05:37    ","00:04:35    ","81","84","107","125","136","24","42"
"2","00:06:20    ","00:06:20    ","1","3","3","00:06:21    ","00:06:22    ","00:05:38    ","81","85","98","163","170","25","67"
"3","00:06:23    ","00:06:23    ","1","4","0","00:06:24    ","00:06:14    ","00:04:40    ","81","85","97","162","168","24","68"
"4","00:06:43    ","00:06:43    ","1","0","3","00:06:43    ","00:06:50    ","00:06:00    ","81","85","91","152","158","26","71"
"5","00:06:51    ","00:06:51    ","1","3","3","00:06:51    ","00:06:51    ","00:04:53    ","83","86","90","155","158","23","73"
"6","00:06:56    ","00:06:56    ","1","0","0","00:06:57    ","00:07:08    ","00:06:12    ","82","84","88","157","164","23","74"
"7","00:06:45    ","00:06:45    ","1","0","3","00:06:45    ","00:06:38    ","00:04:17    ","82","85","91","157","165","23","75"
"8","00:06:13    ","00:06:13    ","1","3","3","00:06:14    ","00:06:32    ","00:05:36    ","83","85","97","162","168","23","67"
"9","00:04:56    ","00:04:56    ","1","0","0","00:04:56    ","00:05:11    ","00:03:07    ","82","86","124","166","172","23","58"
"10","00:04:26    ","00:04:26    ","1","0","2","00:04:26    ","00:04:22    ","00:02:57    ","84","88","135","161","165","23","44"
"11","00:00:14    ","00:00:07    ","0.02","0","0","00:06:29    ","00:05:58    ","00:05:36    ","86","86","169","161","162","22","0"
"Summary","01:01:33    ","01:01:33    ","10.02","13","17","00:06:09    ","00:06:10    ","00:02:57    ","82","88","99","156","172","24","640"
